CUIE;SIISA;NOMBRE EFECTOR;DEPENDENCIA ADMINISTRATIVA;CODIGO INDEC PROVINCIA;CODIGO INDEC DEPARTAMENTO;DEPARTAMENTO;CODIGO INDEC LOCALIDAD;LOCALIDAD;LATITUD;LONGITUD
W08554;5,01804E+13;S. PARADA COCO;Provincial;18;42;EMPEDRADO;20;EMPEDRADO;-27,957562;-58,803634
W08424;5,01807E+13;G. BALESTRA - BARRIO JARDIN;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W10152;5,01807E+13;SALA SAN RAMON;Municipal;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W10131;5,01807E+13;SALA MEDALLA MILAGROSA;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W08419;5,01807E+13;SALA B° ITATI;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W10076;5,01807E+13;SALA 25 DE MAYO;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W08420;5,01807E+13;BO. DEVOTO;Municipal;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W08426;5,01807E+13;C. OSCAR MUNIAGURRIA;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W08428;5,01807E+13;P.S. BUENA VISTA;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W08480;5,01805E+13;II SECCION GUAYQUIRARO;Provincial;18;49;ESQUINA;10;ESQUINA;-30,0174;-59,532161
W10147;-;SALA SAN FERNANDO;Provincial;18;49;ESQUINA;10;ESQUINA;0;0
W08485;5,01805E+13;III SECCION EL CARMEN;Provincial;18;49;ESQUINA;10;ESQUINA;-30,0174;-59,532161
W10063;5,01811E+13;DISP. 308 VIVIENDAS - JUAN F. ARETA;Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W10064;5,01811E+13;DISP. BELGRANO;Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W10065;5,01811E+13;CIC (EX ENRIORI);Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W07031;5,01811E+13;JUAN DE LA ROSA (TIRO FEDERAL);Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W07032;5,01811E+13;FLORIDA (RAMON CARRILLO);Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W10066;5,01811E+13;SAN MARTIN (ROSBACO);Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;-30,245128;-57,680625
W07027;5,01811E+13;AXEL VERON;Provincial;18;105;MERCEDES;30;MERCEDES;-29,182693;-58,078971
W07028;5,01811E+13;SALA CASTELLO;Provincial;18;105;MERCEDES;30;MERCEDES;-29,182693;-58,078971
W07029;5,01811E+13;COTY YUNES;Provincial;18;105;MERCEDES;30;MERCEDES;-29,182693;-58,078971
W10148;5,01811E+13;SALA SAN FRANCISCO;Provincial;18;105;MERCEDES;30;MERCEDES;-29,185737;-58,079223
W07030;5,01811E+13;SOCIEDAD RURAL;Provincial;18;105;MERCEDES;30;MERCEDES;-29,182693;-58,078971
W10031;5,01804E+13;C.A.P.S. P. OBREGON B CENTENARIO;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W10028;5,01804E+13;C.A.P.S. DR. RODRIGUEZ B SANTA ROSA;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W10033;5,01804E+13;SALA JUANA GARIN DE BENTA;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W10032;5,01804E+13;CAPS SAN RAMON;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W10029;5,01804E+13;C.A.P.S. JUAN PEDRO SORRIBES;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W10052;5,01812E+13;CAPS N° 1 - SIMON PAIVA;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,71371;-57,08556
W10053;5,01812E+13;CAPS N° 2 - 132 VIV;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,71371;-57,08556
W10054;5,01812E+13;CAPS N° 3 - HIPODROMO;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,71371;-57,08556
W01493;5,01802E+13;C.A.P.S. 7 LAGUNA BRAVA;Provincial;18;21;CAPITAL;30;LAGUNA BRAVA;-27,492892;-58,720035
W01497;5,01802E+13;C.A.P.S. 9 BARRIO 17 DE AGOSTO;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,490608;-58,783936
W01504;5,01802E+13;C.A.P.S. 13;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,493292;-58,837988
W06961;1,01814E+13;"""HOSP. """"SAN LUIS DEL PALMAR""""""";Provincial;18;140;SAN LUIS DEL PALMAR;10;SAN LUIS DEL PALMAR;-27,534455;-58,554725
W06963;5,01813E+13;E.S. MARIA AUXILIADORA;Provincial;18;133;SAN COSME;40;SANTA ANA;-27,370151;-58,512554
W06959;1,01804E+13;HOSP. DR. JAIME DÁVILA;Provincial;18;42;EMPEDRADO;20;EMPEDRADO;-27,952558;-58,805351
W06965;1,01808E+13;HOSP. DRES. GARCIA;Provincial;18;77;ITATI;10;ITATI;-27,270499;-58,244018
W07017;1,01806E+13;HOSP. INMACULADA CONCEPCIÓN;Provincial;18;63;GENERAL PAZ;10;ITA IBATE;-27,442478;-57,345886
W06969;1,01806E+13;HOSP. SAN VICENTE DE PAUL;Provincial;18;63;GENERAL PAZ;30;NUESTRA SENORA DEL ROSARIO DE CAA CATI;-27,751607;-57,619171
W02718;5,01806E+13;S. LOMAS DE VALLEJOS;Provincial;18;63;GENERAL PAZ;20;LOMAS DE VALLEJOS;-27,7431;-57,924041
W06972;1,01815E+13;HOSPITAL DR. J. PINEYRO;Provincial;18;154;SAN MIGUEL;10;LORETO;-27,778341;-57,271728
W06983;1,01816E+13;HOSP. SAN ROQUE;Provincial;18;161;SAN ROQUE;50;SAN ROQUE;-28,578492;-58,717803
W06987;1,01816E+13;HOSPITAL JUAN ROMERO;Provincial;18;161;SAN ROQUE;30;9 DE JULIO;-28,853093;-58,822174
W06990;1,01805E+13;HOSP. SAN ROQUE;Provincial;18;49;ESQUINA;10;ESQUINA;-30,017233;-59,530105
W06954;5,01802E+13;S.A.P.S. BARRIO PUJOL;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,467231;-58,806509
W06955;5,01802E+13;S.A.P.S. VILLA CHIQUITA;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,48344;-58,80584
W01499;5,01802E+13;S.A.P.S. BARRIO SANTA MARGARITA;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,531411;-58,765869
W01500;5,01802E+13;S.A.P.S. MARCELINO VERA;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,556981;-58,745956
W01494;5,01802E+13;S.A.P.S. DR. BENJAMIN SERRANO BARRIO PARQUE CADENAS;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,452227;-58,752136
W06956;5,01802E+13;S.A.P.S. BARRIO SAPUCAY;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,499744;-58,662872
W06957;5,01802E+13;S.A.P.S. PASO MARTÍNEZ;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,499135;-58,649826
W01496;5,01802E+13;S.A.P.S. BARRIO PRIMERA JUNTA;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,490989;-58,818569
W01490;5,01802E+13;S.A.P.S. DR. CHERCOFF BARRIO YECOHÁ;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,458016;-58,760375
W01492;5,01802E+13;S.A.P.S. MAURICIO OPEN;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,443087;-58,743209
W07021;5,01802E+13;S.A.P.S. DR. LORENZO;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,500353;-58,792347
W01505;5,01802E+13;S.A.P.S. DR. SAUL CALMANASH;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,492664;-58,846764
W06958;5,01802E+13;S.A.P.S. RIO PARANÁ;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,535521;-58,786296
W06964;5,01802E+13;P.S. RIACHUELO - VIDA EN LIBERTAD;Municipal;18;21;CAPITAL;40;RIACHUELO;-27,5813037;-58,7536452
W07022;5,01807E+13;S.A.P.S. B RESURRECCION;Municipal;18;70;GOYA;20;GOYA;-29,1442242;-59,2643242
W07023;5,01807E+13;S.A.P.S. B VILLA VITAL;Provincial;18;70;GOYA;20;GOYA;-29,144224;-59,264324
W07024;5,01804E+13;C.A.P.S. DR. OTTO GARCIA;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W07025;5,01804E+13;C.A.P.S. MARTINEZ GROSSI (EX CARLOTTA MELLONES);Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;-29,791541;-58,04993
W00350;5,01802E+13;C.A.P.S. 2 EX CONI;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,468869;-58,79889
W00736;5,01802E+13;C.A.P.S. 3 - DR. TAGLIALENE;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,49451;-58,825263
W00504;5,01802E+13;C.A.P.S. 4 DR. GRACINIANO LUGO;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,489732;-58,805179
W00489;5,01802E+13;C.A.P.S. 8 SANTA TERESITA;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,481795;-58,825306
W00352;5,01802E+13;C.A.P.S. 10 BARRIO MOLINA PUNTA;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,448876;-58,781855
W01375;5,01802E+13;C.A.P.S. 12 BARRIO PONCE;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,488781;-58,763122
W01374;5,01802E+13;C.A.P.S. 14 BARRIO JUAN DE VERA;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,487144;-58,843309
W00431;5,01802E+13;S.A.P.S. BARRIO ANAHÍ;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,464603;-58,798441
W00355;5,01802E+13;S.A.P.S. BARRIO ITATÍ;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,46468;-58,80947
W01486;5,01802E+13;S.A.P.S. BARRIO QUINTA FERRÉ;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,46666;-58,807454
W00738;5,01802E+13;S.A.P.S. MANUEL CASSUSO;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,513733;-58,810307
W01377;5,01802E+13;S.A.P.S. M.ROSSI CANDIA BARRIO IBERÁ;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,496851;-58,829212
W01487;5,01802E+13;S.A.P.S. KORIMBLUM BARRIO ONGAY;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,496547;-58,809385
W00720;5,01802E+13;S.A.P.S. BARRIO ESPERANZA;Municipal;18;21;CAPITAL;10;BARRIO ESPERANZA;-27,538718;-58,779602
W00340;5,01802E+13;S.A.P.S. DR. MANUEL GONZALEZ BARRIO LOMAS DEL MIRADOR;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,457178;-58,790202
W01376;5,01802E+13;S.A.P.S. DR. LIFSCHITZ;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,506177;-58,813033
W01485;5,01802E+13;S.A.P.S. BARRIO LOMAS;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,487486;-58,750097
W01379;5,01802E+13;S.A.P.S. BARRIO SANTA MARTA;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,493844;-58,841056
W01378;5,01802E+13;S.A.P.S. BARRIO GALVAN;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,485507;-58,847322
W01373;5,01802E+13;S.A.P.S. DR. SUSSINI;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,473951;-58,847708
W01488;5,01802E+13;S.A.P.S. DR. PEDRO BLUGERMAN BARRIO VIRGEN DE LOS DOLORES;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,488705;-58,851914
W00487;5,01802E+13;S.A.P.S. BARRIO SAN MARCOS;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,488876;-58,822968
W01489;5,01802E+13;S.A.P.S. DR. SEMPER BARRIO VICTOR COLAS;Municipal;18;21;CAPITAL;20;CORRIENTES;-27,459577;-58,782863
W20125;5,01808E+13;CAPS DR. GENARO LEIVA;Provincial;18;84;ITUZAINGO;20;ITUZAINGO;-27,589908;-56,68927
W20182;5,11812E+13;CAPS N° 9 - SAN SALVADOR;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,71429589;-57,11654663
W20194;5,01812E+13;CAPS N° 11 - ALISIO CHIAPPANO;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,7127752;-57,0804478
W07037;5,01817E+13;S.A.P.S. ESTACION;Provincial;18;168;SANTO TOME;40;SANTO TOME;-28,5516205;-56,0456352
W07016;5,01808E+13;E.S. SAN ANTONIO;Provincial;18;84;ITUZAINGO;30;SAN ANTONIO;-27,5899088;-56,6892701
W07014;1,01808E+13;HOSPITAL COLONIA LIEBIG;Provincial;18;84;ITUZAINGO;10;COLONIA LIEBIG'S;-27,893101;-55,890884
W07020;1,01815E+13;HOSPITAL SAN ANTONIO DE PADUA;Provincial;18;147;SAN MARTIN;30;LA CRUZ;-29,18214;-56,641387
W20175;5,01802E+13;FACULTAD DE MEDICINA DE LA UNNE;Estado Nacional;18;21;CAPITAL;20;CORRIENTES;-27,4718598;-58,8376502
W20130;-;MUNICIPALIDAD DE CORRIENTES;Municipal;18;21;CAPITAL;20;CORRIENTES;0;0
W10110;5,01815E+13;E.S. PJE. BACARAY;Provincial;18;147;SAN MARTIN;30;LA CRUZ;-29,155485;-56,63367
W20131;-;MUNICIPALIDAD DE RIACHUELO;Municipal;18;21;CAPITAL;40;RIACHUELO;0;0
W20132;-;MUNICIPALIDAD DE SAN LUIS DEL PALMAR;Municipal;18;140;SAN LUIS DEL PALMAR;10;SAN LUIS DEL PALMAR;0;0
W20133;-;MUNICIPALIDAD DE SANTA ANA;Municipal;18;133;SAN COSME;40;SANTA ANA;0;0
W20134;-;MUNICIPALIDAD DE CAA CATI;Municipal;18;63;GENERAL PAZ;30;NUESTRA SENORA DEL ROSARIO DE CAA CATI;0;0
W20140;-;MUNICIPALIDAD DE BELLA VISTA;Municipal;18;7;BELLA VISTA;10;BELLA VISTA;0;0
W20137;-;MUNICIPALIDAD DE CONCEPCION;Municipal;18;28;CONCEPCION;10;CONCEPCION;0;0
W20138;-;MUNICIPALIDAD DE MBURUCUYA;Municipal;18;98;MBURUCUYA;10;MBURUCUYA;0;0
W20139;-;MUNICIPALIDAD DE GOYA;Municipal;18;70;GOYA;20;GOYA;0;0
W20155;-;MUNICIPALIDAD DE ESQUINA;Municipal;18;49;ESQUINA;10;ESQUINA;-30,0174;-59,532161
W20143;-;MUNICIPALIDAD DE CURUZU CUATIA;Municipal;18;35;CURUZU CUATIA;20;CURUZU CUATIA;0;0
W20145;-;MUNICIPALIDAD DE P.D.LOS LIBRES;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;0;0
W20147;-;MUNICIPALIDAD DE SAUCE;Municipal;18;175;SAUCE;10;SAUCE;0;0
W20149;-;MUNICIPALIDAD DE GOBERNADOR VIRASORO;Municipal;18;168;SANTO TOME;30;GOBERNADOR IGR. VALENTIN VIRASORO;0;0
W10055;5,11815E+13;E.S. RIO URUGUAY;Provincial;18;147;SAN MARTIN;30;LA CRUZ;-29,155485;-56,63367
W20053;5,01815E+13;E.S. PJE.IZOQUI;Provincial;18;147;SAN MARTIN;30;LA CRUZ;-29,138637;-56,64195
W20049;5,01806E+13;S. NICOLA LUCA;Provincial;18;56;GENERAL ALVEAR;10;ALVEAR;-29,095777;-56,554183
W10058;5,01812E+13;CAPS N° 6 - ZAPADORES;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,71371;-57,08556
W10059;5,01812E+13;CAPS N° 7 - OMBUCITO;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,7137101;-57,0855601
W10060;5,01812E+13;CAPS N° 8 - LAS FLORES;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,71371;-57,08556
W20174;5,01812E+13;CAPS N° 10;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,71996112;-57,10315704
W20164;5,01818E+13;SALA CIC SAUCE;Municipal;18;175;SAUCE;10;SAUCE;-30,085137;-58,787556
W07035;5,01817E+13;S.A.P.S. TABLADA;Provincial;18;168;SANTO TOME;40;SANTO TOME;-28,55162;-56,045635
W07036;5,01817E+13;SALA ITA CUA;Provincial;18;168;SANTO TOME;40;SANTO TOME;-28,545322;-56,087265
W20126;5,01817E+13;SALA CIC SANTO TOMÉ;Municipal;18;168;SANTO TOME;40;SANTO TOME;-28,55162;-56,045635
W07046;5,01808E+13;S.A.P.S. B GRAL. SAN MARTIN;Provincial;18;84;ITUZAINGO;20;ITUZAINGO;-27,588632;-56,672286
W20158;-;CONSULTORIO EXTERNO N 5;Provincial;18;168;SANTO TOME;40;SANTO TOME;0;0
W07041;5,01817E+13;S.A.P.S. B 202 VIVIENDAS;Municipal;18;168;SANTO TOME;30;GOBERNADOR IGR. VALENTIN VIRASORO;-28,036834;-55,998687
W07042;5,01817E+13;S.A.P.S. CESAREO NAVAJAS;Municipal;18;168;SANTO TOME;30;GOBERNADOR IGR. VALENTIN VIRASORO;-28,012588;-56,015167
W07043;5,01817E+13;S.A.P.S. NARCISO VEGA;Municipal;18;168;SANTO TOME;30;GOBERNADOR IGR. VALENTIN VIRASORO;-27,996826;-56,039886
W07044;5,01817E+13;S.A.P.S. VUELTA OMBU;Municipal;18;168;SANTO TOME;30;GOBERNADOR IGR. VALENTIN VIRASORO;-28,041076;-56,0083
W07045;5,01817E+13;S.A.P.S. B 325 VIVIENDAS;Municipal;18;168;SANTO TOME;30;GOBERNADOR IGR. VALENTIN VIRASORO;-28,05;-56,033333
W10057;5,01812E+13;CAPS N° 5 - CATAMARCA;Municipal;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,71371;-57,08556
